Sample Nº,Date,Time,Milliseconds,Tensão [V],? Tensão [V],Corrente [?A],? Corrente [?A],Pressão [mBar],? Pressão [mBar]
1,16-11-2021,15:50:36,866,"-74,82E-3",10E-6,"5,64E-3",10E-6,680,10E-6
2,16-11-2021,15:50:46,866,"-74,82E-3",10E-6,"5,64E-3",10E-6,700,10E-6
3,16-11-2021,15:50:56,866,"-74,82E-3",10E-6,"5,64E-3",10E-6,700,10E-6
4,16-11-2021,15:51:06,866,"-74,82E-3",10E-6,"5,64E-3",10E-6,1E3,10E-6
5,16-11-2021,15:51:16,866,"-74,82E-3",10E-6,"5,64E-3",10E-6,1E3,10E-6
6,16-11-2021,15:51:26,866,"-74,82E-3",10E-6,"5,64E-3",10E-6,1E3,10E-6
7,16-11-2021,15:51:36,866,"-74,82E-3",10E-6,"5,64E-3",10E-6,700,10E-6
8,16-11-2021,15:51:46,866,"-74,82E-3",10E-6,"5,64E-3",10E-6,1E3,10E-6
9,16-11-2021,15:51:56,866,"-74,82E-3",10E-6,"5,64E-3",10E-6,700,10E-6
10,16-11-2021,15:52:06,866,"-74,82E-3",10E-6,"5,64E-3",10E-6,1E3,10E-6
11,16-11-2021,15:52:16,866,"-74,82E-3",10E-6,"5,64E-3",10E-6,1E3,10E-6
12,16-11-2021,15:52:26,866,"-74,82E-3",10E-6,"5,64E-3",10E-6,1E3,10E-6
13,16-11-2021,15:52:36,866,"-74,82E-3",10E-6,"5,64E-3",10E-6,1E3,10E-6
14,16-11-2021,15:52:46,866,"-74,82E-3",10E-6,"5,64E-3",10E-6,1E3,10E-6
15,16-11-2021,15:52:56,866,"-74,82E-3",10E-6,"5,64E-3",10E-6,1E3,10E-6
16,16-11-2021,15:53:06,866,"-74,82E-3",10E-6,"5,64E-3",10E-6,1E3,10E-6
17,16-11-2021,15:53:16,866,"-74,82E-3",10E-6,"5,64E-3",10E-6,1E3,10E-6
18,16-11-2021,15:53:26,866,"-74,82E-3",10E-6,"5,64E-3",10E-6,1E3,10E-6
19,16-11-2021,15:53:36,866,"-74,82E-3",10E-6,"5,64E-3",10E-6,1E3,10E-6
20,16-11-2021,15:53:46,866,"-74,82E-3",10E-6,"5,64E-3",10E-6,1E3,10E-6
21,16-11-2021,15:53:56,866,"-74,82E-3",10E-6,"5,64E-3",10E-6,1E3,10E-6
22,16-11-2021,15:54:06,866,"-74,82E-3",10E-6,"5,64E-3",10E-6,1E3,10E-6
23,16-11-2021,15:54:16,866,"-74,82E-3",10E-6,"5,64E-3",10E-6,1E3,10E-6
24,16-11-2021,15:54:26,866,"-74,82E-3",10E-6,"5,64E-3",10E-6,1E3,10E-6
25,16-11-2021,15:54:36,866,"-74,82E-3",10E-6,"5,64E-3",10E-6,1E3,10E-6
26,16-11-2021,15:54:46,866,"-74,82E-3",10E-6,"5,64E-3",10E-6,1E3,10E-6
27,16-11-2021,15:54:56,866,"-74,82E-3",10E-6,"5,64E-3",10E-6,1E3,10E-6
28,16-11-2021,15:55:06,866,"-74,82E-3",10E-6,"5,64E-3",10E-6,1E3,10E-6
29,16-11-2021,15:55:16,866,"-74,82E-3",10E-6,"5,64E-3",10E-6,1E3,10E-6
30,16-11-2021,15:55:26,866,"-74,82E-3",10E-6,"5,64E-3",10E-6,700,10E-6
31,16-11-2021,15:55:36,866,"-74,82E-3",10E-6,"5,64E-3",10E-6,1E3,10E-6
32,16-11-2021,15:55:46,866,"-74,82E-3",10E-6,"5,64E-3",10E-6,1E3,10E-6
33,16-11-2021,15:55:56,866,"-74,82E-3",10E-6,"5,64E-3",10E-6,1E3,10E-6
34,16-11-2021,15:56:06,866,"-74,82E-3",10E-6,"5,64E-3",10E-6,1E3,10E-6
35,16-11-2021,15:56:16,866,"-74,82E-3",10E-6,"5,64E-3",10E-6,1E3,10E-6
36,16-11-2021,15:56:26,866,"-74,82E-3",10E-6,"5,64E-3",10E-6,1E3,10E-6
37,16-11-2021,15:56:36,866,"-74,82E-3",10E-6,"5,64E-3",10E-6,1E3,10E-6
38,16-11-2021,15:56:46,866,"-74,82E-3",10E-6,"5,64E-3",10E-6,1E3,10E-6
39,16-11-2021,15:56:56,866,"-74,82E-3",10E-6,"5,64E-3",10E-6,1E3,10E-6
40,16-11-2021,15:57:06,866,"-74,82E-3",10E-6,"5,64E-3",10E-6,1E3,10E-6
41,16-11-2021,15:57:16,866,"-74,82E-3",10E-6,"5,64E-3",10E-6,1E3,10E-6
42,16-11-2021,15:57:26,866,"-74,82E-3",10E-6,"5,64E-3",10E-6,1E3,10E-6
43,16-11-2021,15:57:36,866,"-74,82E-3",10E-6,"5,64E-3",10E-6,190,10E-6
44,16-11-2021,15:57:46,866,"-74,82E-3",10E-6,"5,64E-3",10E-6,82,10E-6
45,16-11-2021,15:57:56,866,"-74,82E-3",10E-6,"5,64E-3",10E-6,59,10E-6
46,16-11-2021,15:58:06,866,"-74,82E-3",10E-6,"5,64E-3",10E-6,45,10E-6
47,16-11-2021,15:58:16,866,"-74,82E-3",10E-6,"5,64E-3",10E-6,37,10E-6
48,16-11-2021,15:58:26,866,"-74,82E-3",10E-6,"5,64E-3",10E-6,33,10E-6
49,16-11-2021,15:58:36,866,"-74,82E-3",10E-6,"5,64E-3",10E-6,28,10E-6
50,16-11-2021,15:58:46,866,"-74,82E-3",10E-6,"5,64E-3",10E-6,23,10E-6
51,16-11-2021,15:58:56,866,"-74,82E-3",10E-6,"5,64E-3",10E-6,19,10E-6
52,16-11-2021,15:59:06,866,"-74,82E-3",10E-6,"5,64E-3",10E-6,17,10E-6
53,16-11-2021,15:59:16,866,"-74,82E-3",10E-6,"5,64E-3",10E-6,15,10E-6
54,16-11-2021,15:59:26,866,"-74,82E-3",10E-6,"5,64E-3",10E-6,13,10E-6
55,16-11-2021,15:59:36,866,"-74,82E-3",10E-6,"5,64E-3",10E-6,10,10E-6
56,16-11-2021,15:59:46,866,"-74,82E-3",10E-6,"5,64E-3",10E-6,"9,2",10E-6
57,16-11-2021,15:59:56,866,"-74,82E-3",10E-6,"5,64E-3",10E-6,"7,9",10E-6
58,16-11-2021,16:00:06,866,"-74,82E-3",10E-6,"5,64E-3",10E-6,"6,4",10E-6
59,16-11-2021,16:00:16,866,"-74,82E-3",10E-6,"5,64E-3",10E-6,"5,1",10E-6
60,16-11-2021,16:00:26,866,"-74,82E-3",10E-6,"5,64E-3",10E-6,"3,8",10E-6
61,16-11-2021,16:00:36,866,"-74,82E-3",10E-6,"5,64E-3",10E-6,"3,1",10E-6
62,16-11-2021,16:00:46,866,"-74,82E-3",10E-6,"5,64E-3",10E-6,"2,4",10E-6
63,16-11-2021,16:00:56,866,"-74,82E-3",10E-6,"5,64E-3",10E-6,"1,9",10E-6
64,16-11-2021,16:01:06,866,"-74,82E-3",10E-6,"5,64E-3",10E-6,"1,6",10E-6
65,16-11-2021,16:01:16,866,"-74,82E-3",10E-6,"5,64E-3",10E-6,"1,3",10E-6
66,16-11-2021,16:01:26,866,"-74,82E-3",10E-6,"5,64E-3",10E-6,"1,1",10E-6
67,16-11-2021,16:01:36,866,"-74,82E-3",10E-6,"5,64E-3",10E-6,950E-3,10E-6
68,16-11-2021,16:01:46,866,"-74,82E-3",10E-6,"5,64E-3",10E-6,830E-3,10E-6
69,16-11-2021,16:01:56,866,"-74,82E-3",10E-6,"5,64E-3",10E-6,730E-3,10E-6
70,16-11-2021,16:02:06,866,"-74,82E-3",10E-6,"5,64E-3",10E-6,660E-3,10E-6
71,16-11-2021,16:02:16,866,"-74,82E-3",10E-6,"5,64E-3",10E-6,600E-3,10E-6
72,16-11-2021,16:02:26,866,"-74,82E-3",10E-6,"5,64E-3",10E-6,550E-3,10E-6
73,16-11-2021,16:02:36,866,"-74,82E-3",10E-6,"5,64E-3",10E-6,510E-3,10E-6
74,16-11-2021,16:02:46,866,"-74,82E-3",10E-6,"5,64E-3",10E-6,470E-3,10E-6
75,16-11-2021,16:02:56,866,"-74,82E-3",10E-6,"5,64E-3",10E-6,530E-3,10E-6
76,16-11-2021,16:03:06,866,"-74,82E-3",10E-6,"5,64E-3",10E-6,530E-3,10E-6
77,16-11-2021,16:03:16,866,"-74,82E-3",10E-6,"5,64E-3",10E-6,530E-3,10E-6
